price,carat,city,depth,table,x,y,z,cut,color,clarity
4268,1.21,Dubai,62.4,58.0,6.83,6.79,4.25,Premium,J,VS2
505,0.32,Kimberly,63.0,57.0,4.35,4.38,2.75,Very Good,H,VS2
2686,0.71,Las Vegas,65.5,55.0,5.62,5.53,3.65,Fair,G,VS1
738,0.41,Kimberly,63.8,56.0,4.68,4.72,3.0,Good,D,SI1
4882,1.02,Dubai,60.5,59.0,6.55,6.51,3.95,Ideal,G,SI1
9057,1.52,Tel Aviv,61.2,57.0,7.45,7.39,4.54,Ideal,F,SI2
3733,1.01,Amsterdam,65.2,56.0,6.23,6.19,4.05,Fair,H,VS2
8608,1.52,Kimberly,62.3,58.0,7.32,7.35,4.57,Ideal,J,VS1
557,0.31,Zurich,61.8,54.2,4.33,4.37,2.69,Ideal,H,VS1
6741,1.14,Antwerp,61.7,56.0,6.71,6.75,4.15,Ideal,G,SI1
1040,0.44,Las Vegas,62.3,59.0,4.88,4.84,3.03,Premium,E,SI1
4284,1.02,Tel Aviv,58.0,58.0,6.84,6.6,3.9,Premium,I,SI1
3101,0.93,Madrid,62.3,57.0,6.2,6.22,3.87,Ideal,I,SI2
14507,1.51,Paris,60.1,58.0,7.48,7.45,4.49,Premium,G,VS1
10349,1.65,Surat,61.6,55.0,7.58,7.62,4.68,Ideal,H,SI2
6006,1.5,Paris,57.5,63.0,7.53,7.49,4.32,Good,G,SI2
1207,0.43,Amsterdam,62.1,56.0,4.85,4.87,3.02,Ideal,D,VS1
983,0.38,Surat,60.8,61.0,4.66,4.65,2.83,Premium,G,VS2
3548,0.85,Luxembourg,61.9,56.0,6.08,6.1,3.77,Ideal,I,VS1
11078,1.53,Tel Aviv,60.7,60.0,7.45,7.41,4.51,Premium,D,SI2
11177,1.54,Kimberly,61.0,60.0,7.46,7.42,4.54,Premium,H,VS2
1740,0.71,London,62.0,59.0,5.69,5.65,3.52,Premium,G,SI2
605,0.3,Zurich,61.7,56.0,4.29,4.33,2.66,Very Good,G,VS1
12932,1.3,Amsterdam,61.3,56.0,7.03,7.06,4.32,Ideal,G,IF
574,0.3,Madrid,62.9,59.0,4.28,4.24,2.68,Premium,G,SI1
2873,1.0,London,61.7,56.0,6.45,6.41,3.97,Ideal,I,SI2
6216,1.0,Antwerp,61.6,54.0,6.49,6.46,3.99,Premium,G,VS2
3568,0.9,New York City,61.7,56.0,6.16,6.09,3.78,Premium,D,SI1
7066,1.55,Antwerp,63.2,57.0,7.35,7.31,4.64,Very Good,H,SI1
3054,1.01,Antwerp,61.1,60.0,6.46,6.41,3.93,Premium,H,SI2
4969,1.16,Tel Aviv,62.5,58.0,6.72,6.68,4.19,Premium,G,SI2
743,0.35,Amsterdam,62.0,53.9,4.5,4.53,2.8,Ideal,H,VVS1
6801,0.97,Zurich,60.4,57.0,6.4,6.48,3.89,Ideal,H,VVS1
5717,1.19,Surat,60.2,57.0,6.84,6.87,4.13,Ideal,E,SI2
2422,0.7,Kimberly,62.1,56.0,5.65,5.68,3.52,Very Good,H,VS1
